id,yr,mo,dy,date,time,tz,st,stf,stn,sz,in,fat,loss,closs,y,x,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,timestamp
279766,2011,1,9,2011-01-09,03:48:00,3,TX,48,0,1,0,0,0.020,0.000,27.67,-97.75,27.67,-97.75,0,0,0,0,0,355,0,0,0,1294556400
279764,2011,1,9,2011-01-09,04:24:00,3,TX,48,0,1.5,0,0,1.000,0.000,27.9,-97.15,27.9,-97.15,0,0,0,0,0,409,0,0,0,1294556400
270360,2011,1,10,2011-01-10,07:10:00,3,FL,12,0,0.75,0,0,0.000,0.000,30.28,-82.13,30.28,-82.13,0,0,0,0,0,003,0,0,0,1294642800
268370,2011,1,10,2011-01-10,10:58:00,3,FL,12,0,1,0,0,0.000,0.000,28.14,-82.78,28.09,-82.77,0,0,0,0,0,103,0,0,0,1294642800
268230,2011,1,17,2011-01-17,09:40:00,3,FL,12,0,1,0,0,0.000,0.000,27.58,-82.46,27.58,-82.46,0,0,0,0,0,081,0,0,0,1295247600
277849,2011,1,25,2011-01-25,15:36:00,3,FL,12,0,1,0,0,0.000,0.000,28.55,-82.49,28.55,-82.49,0,0,0,0,0,053,0,0,0,1295938800
273372,2011,1,30,2011-01-30,14:45:00,3,TX,48,0,1.75,0,0,0.002,0.000,32.13,-95.48,32.13,-95.48,0,0,0,0,0,213,0,0,0,1296370800
273371,2011,1,30,2011-01-30,16:29:00,3,TX,48,0,0.88,0,0,0.000,0.000,31.85,-95.63,31.85,-95.63,0,0,0,0,0,001,0,0,0,1296370800
273369,2011,1,30,2011-01-30,16:46:00,3,TX,48,0,0.75,0,0,0.000,0.000,31.92,-95.63,31.92,-95.63,0,0,0,0,0,001,0,0,0,1296370800
273368,2011,1,30,2011-01-30,17:09:00,3,TX,48,0,1,0,0,0.000,0.000,31.77,-95.61,31.77,-95.61,0,0,0,0,0,001,0,0,0,1296370800
273366,2011,1,30,2011-01-30,17:16:00,3,TX,48,0,1,0,0,0.000,0.000,31.67,-95.67,31.67,-95.67,0,0,0,0,0,001,0,0,0,1296370800
273365,2011,1,30,2011-01-30,17:25:00,3,TX,48,0,1.75,0,0,0.001,0.000,31.7,-95.49,31.7,-95.49,0,0,0,0,0,001,0,0,0,1296370800
276055,2011,1,30,2011-01-30,17:28:00,3,AR,05,0,0.75,0,0,0.000,0.000,33.94,-93.96,33.94,-93.96,0,0,0,0,0,061,0,0,0,1296370800
276056,2011,1,30,2011-01-30,18:10:00,3,AR,05,0,1,0,0,0.000,0.000,33.97,-93.89,33.97,-93.89,0,0,0,0,0,061,0,0,0,1296370800
269935,2011,1,30,2011-01-30,18:25:00,3,TX,48,0,1.75,0,0,0.000,0.000,30.65,-94.88,30.65,-94.88,0,0,0,0,0,373,0,0,0,1296370800
270092,2011,1,30,2011-01-30,18:30:00,3,AR,05,0,0.75,0,0,0.000,0.000,34.48,-92.72,34.48,-92.72,0,0,0,0,0,125,0,0,0,1296370800
276057,2011,1,30,2011-01-30,19:37:00,3,AR,05,0,0.75,0,0,0.000,0.000,33.94,-94.36,33.94,-94.36,0,0,0,0,0,133,0,0,0,1296370800
276058,2011,1,30,2011-01-30,19:47:00,3,AR,05,0,0.88,0,0,0.000,0.000,33.94,-94.36,33.94,-94.36,0,0,0,0,0,133,0,0,0,1296370800
279854,2011,1,31,2011-01-31,21:35:00,3,TX,48,0,0.88,0,0,0.000,0.000,31.89,-100.43,31.89,-100.43,0,0,0,0,0,081,0,0,0,1296457200
279853,2011,1,31,2011-01-31,22:23:00,3,TX,48,0,0.88,0,0,0.000,0.000,31.45,-100.45,31.45,-100.45,0,0,0,0,0,451,0,0,0,1296457200
270145,2011,2,1,2011-02-01,06:35:00,3,AR,05,0,0.75,0,0,0.000,0.000,33.82,-92.42,33.82,-92.42,0,0,0,0,0,039,0,0,0,1296543600
270146,2011,2,1,2011-02-01,06:52:00,3,AR,05,0,1,0,0,0.000,0.000,33.86,-92.37,33.86,-92.37,0,0,0,0,0,039,0,0,0,1296543600
283178,2011,2,1,2011-02-01,10:40:00,3,MS,28,0,1,0,0,0.000,0.000,34.33,-88.5,34.33,-88.5,0,0,0,0,0,057,0,0,0,1296543600
273522,2011,2,1,2011-02-01,12:40:00,3,LA,22,0,0.88,0,0,0.000,0.000,30.53,-91.4,30.53,-91.4,0,0,0,0,0,121,0,0,0,1296543600
276298,2011,2,2,2011-02-02,22:18:00,3,FL,12,0,0.75,0,0,0.000,0.000,29.64,-82.66,29.64,-82.66,0,0,0,0,0,001,0,0,0,1296630000
276389,2011,2,6,2011-02-06,18:51:00,3,TX,48,0,0.75,0,0,0.000,0.000,31.78,-94.18,31.78,-94.18,0,0,0,0,0,419,0,0,0,1296975600
283325,2011,2,18,2011-02-18,18:00:00,3,MA,25,0,0.75,0,0,0.000,0.000,42.1,-72.67,42.1,-72.67,0,0,0,0,0,013,0,0,0,1298012400
283327,2011,2,18,2011-02-18,18:00:00,3,CT,09,0,0.88,0,0,0.000,0.000,41.97,-72.57,41.97,-72.57,0,0,0,0,0,003,0,0,0,1298012400
283322,2011,2,18,2011-02-18,19:00:00,3,MA,25,0,0.75,0,0,0.000,0.000,41.6,-70.95,41.6,-70.95,0,0,0,0,0,005,0,0,0,1298012400
283320,2011,2,18,2011-02-18,19:00:00,3,MA,25,0,0.88,0,0,0.000,0.000,41.65,-70.92,41.65,-70.92,0,0,0,0,0,005,0,0,0,1298012400
276173,2011,2,24,2011-02-24,03:00:00,3,TX,48,0,1,0,0,0.000,0.000,33.19,-101.79,33.19,-101.79,0,0,0,0,0,305,0,0,0,1298530800
276817,2011,2,24,2011-02-24,04:00:00,3,TX,48,0,1,0,0,0.000,0.000,33.85,-100.52,33.85,-100.52,0,0,0,0,0,269,0,0,0,1298530800
285795,2011,2,24,2011-02-24,06:00:00,3,KS,20,0,0.75,0,0,0.000,0.000,38,-95.4,38,-95.4,0,0,0,0,0,001,0,0,0,1298530800
278888,2011,2,24,2011-02-24,10:10:00,3,TX,48,0,0.88,0,0,0.000,0.000,32.09,-97.29,32.09,-97.29,0,0,0,0,0,217,0,0,0,1298530800
284011,2011,2,24,2011-02-24,12:17:00,3,OK,40,0,1,0,0,0.000,0.000,35.38,-95.27,35.38,-95.27,0,0,0,0,0,101,0,0,0,1298530800
276421,2011,2,24,2011-02-24,17:49:00,3,LA,22,0,1.5,0,0,0.000,0.000,32.79,-93.06,32.79,-93.06,0,0,0,0,0,027,0,0,0,1298530800
278688,2011,2,24,2011-02-24,18:49:00,3,KY,21,0,1,0,0,0.000,0.000,36.65,-88.73,36.64,-88.73,0,0,0,0,0,083,0,0,0,1298530800
287746,2011,2,24,2011-02-24,19:41:00,3,TN,47,0,0.75,0,0,0.000,0.000,35.98,-88.93,35.98,-88.93,0,0,0,0,0,053,0,0,0,1298530800
276444,2011,2,24,2011-02-24,19:55:00,3,AR,05,0,1,0,0,0.000,0.000,33.94,-94.17,33.94,-94.17,0,0,0,0,0,133,0,0,0,1298530800
276447,2011,2,24,2011-02-24,20:15:00,3,AR,05,0,0.75,0,0,0.000,0.000,33.94,-93.85,33.94,-93.85,0,0,0,0,0,061,0,0,0,1298530800
287748,2011,2,24,2011-02-24,20:15:00,3,TN,47,0,0.75,0,0,0.000,0.000,35.47,-88.53,35.47,-88.53,0,0,0,0,0,023,0,0,0,1298530800
276448,2011,2,24,2011-02-24,20:20:00,3,AR,05,0,0.88,0,0,0.000,0.000,33.94,-93.85,33.94,-93.85,0,0,0,0,0,061,0,0,0,1298530800
278130,2011,2,27,2011-02-27,10:28:00,3,MO,29,0,1,0,0,0.000,0.000,37.4,-92.61,37.4,-92.61,0,0,0,0,0,229,0,0,0,1298790000
285368,2011,2,27,2011-02-27,13:00:00,3,KS,20,0,0.75,0,0,0.000,0.000,37.48,-97.64,37.48,-97.64,0,0,0,0,0,173,0,0,0,1298790000
285369,2011,2,27,2011-02-27,13:23:00,3,KS,20,0,1,0,0,0.000,0.000,37.66,-97.48,37.66,-97.48,0,0,0,0,0,173,0,0,0,1298790000
285372,2011,2,27,2011-02-27,13:25:00,3,KS,20,0,0.75,0,0,0.000,0.000,37.67,-97.44,37.67,-97.44,0,0,0,0,0,173,0,0,0,1298790000
285374,2011,2,27,2011-02-27,13:25:00,3,KS,20,0,0.75,0,0,0.000,0.000,37.68,-97.48,37.68,-97.48,0,0,0,0,0,173,0,0,0,1298790000
285376,2011,2,27,2011-02-27,13:28:00,3,KS,20,0,0.75,0,0,0.000,0.000,37.71,-97.44,37.71,-97.44,0,0,0,0,0,173,0,0,0,1298790000
285379,2011,2,27,2011-02-27,13:44:00,3,KS,20,0,1,0,0,0.000,0.000,37.65,-97.23,37.65,-97.23,0,0,0,0,0,173,0,0,0,1298790000
285390,2011,2,27,2011-02-27,13:55:00,3,KS,20,0,0.88,0,0,0.000,0.000,37.68,-97.21,37.68,-97.21,0,0,0,0,0,173,0,0,0,1298790000
281289,2011,2,27,2011-02-27,15:18:00,3,KS,20,0,0.88,0,0,0.000,0.000,38.42,-95.4,38.42,-95.4,0,0,0,0,0,059,0,0,0,1298790000
283181,2011,2,27,2011-02-27,15:20:00,3,MO,29,0,0.75,0,0,0.000,0.000,38.87,-94.17,38.87,-94.17,0,0,0,0,0,095,0,0,0,1298790000
281290,2011,2,27,2011-02-27,15:22:00,3,KS,20,0,1.75,0,0,0.000,0.000,38.4,-95.22,38.4,-95.22,0,0,0,0,0,059,0,0,0,1298790000
281291,2011,2,27,2011-02-27,15:22:00,3,KS,20,0,1.75,0,0,0.000,0.000,38.4,-95.25,38.4,-95.25,0,0,0,0,0,059,0,0,0,1298790000
281292,2011,2,27,2011-02-27,15:30:00,3,KS,20,0,1.75,0,0,0.000,0.000,38.44,-95.08,38.44,-95.08,0,0,0,0,0,059,0,0,0,1298790000
283199,2011,2,27,2011-02-27,15:40:00,3,KS,20,0,1.75,0,0,0.000,0.000,38.55,-94.87,38.55,-94.87,0,0,0,0,0,121,0,0,0,1298790000
283200,2011,2,27,2011-02-27,15:41:00,3,KS,20,0,1,0,0,0.000,0.000,38.5,-94.95,38.5,-94.95,0,0,0,0,0,121,0,0,0,1298790000
283201,2011,2,27,2011-02-27,15:42:00,3,KS,20,0,1,0,0,0.000,0.000,38.5,-94.95,38.5,-94.95,0,0,0,0,0,121,0,0,0,1298790000
283202,2011,2,27,2011-02-27,15:50:00,3,KS,20,0,1,0,0,0.000,0.000,38.59,-94.68,38.59,-94.68,0,0,0,0,0,121,0,0,0,1298790000
283182,2011,2,27,2011-02-27,16:01:00,3,MO,29,0,1,0,0,0.000,0.000,38.62,-94.56,38.62,-94.56,0,0,0,0,0,037,0,0,0,1298790000
